Year,Title,Length,Director,Genre,Country,Screenings,Admissions,Gross Box Office
2004,...Quando Troveja,LM,Manuel Mozos,Drama,PT,12,29,"113,00"
2004,11'09''01 - 11 Perspectivas,LM,"Mira Nair, Alejandro G. Iñárritu, Shôhei Imamura, Ken Loach, Sean Penn, Danis Tanovic, Samira Makhmalbaf, Youssef Chahine, Amos Gitai, Idrissa Quedraogo, Claude Lelouch",Drama,"US, FR, MX, JP, GB, IR, EG",6,147,"599,70"
2004,2046,LM,Kar-Wai Wong,"Drama, Romance, Fantasia","FR, DE, CN, HK",999,18502,"81555,45"
2004,21 Gramas,LM,Alejandro G. Iñárritu,"Drama, Thriller, Policial",US,2870,95121,"389808,15"
2004,28 Dias Depois,LM,Danny Boyle,"Thriller, Terror, Ficção Científica",GB,3,24,"96,00"
2004,5x2,LM,François Ozon,"Drama, Romance",FR,34,668,"2000,40"
2004,7 Dias em Cancun,LM,Rick de Oliveira,N/D,US,161,1980,"7557,75"
2004,8 Mulheres,LM,François Ozon,"Comédia, Policial, Musical","FR, IT",12,69,"268,00"
2004,A Bela e o Monstro,LM,"Gary Trousdale, Kirk Wise","Romance, Fantasia, Musical",US,5,227,"548,00"
2004,A Cabana Do Medo,LM,Eli Roth,Terror,US,1174,14985,"61709,11"
2004,A Câmara de Madeira,LM,Ntshaveni Wa Luruli,Drama,"FR, ZA, GB",87,463,"2086,84"
2004,A Carta,LM,Manoel de Oliveira,Drama,"PT, FR, ES",4,9,"34,20"
2004,A Casa Assombrada,LM,Rob Minkoff,"Comédia, Fantasia",US,3756,128743,"540068,55"
2004,A Casa de Campo,LM,Mike Figgis,"Thriller, Terror","US, CA, GB",3544,112372,"476660,30"
2004,A Casa Dos 1000 Cadáveres,LM,Rob Zombie,Terror,US,646,13382,"59188,67"
2004,A Comédia de Deus,LM,João César Monteiro,"Drama, Comédia","PT, FR, IT, DK",5,62,"251,00"
2004,A Companhia,LM,Robert Altman,"Drama, Romance, Artes","US, DE",396,4200,"17550,70"
2004,A Costa dos Murmúrios,LM,Margarida Cardoso,Drama,"PT, DE",606,12230,"51982,70"
2004,A Domadora De Baleias,LM,Niki Caro,"Drama, Aventura","DE, NZ",21,470,"1382,75"
2004,À Dúzia É Mais Barato,LM,Shawn Levy,Comédia,US,3860,100203,"383898,25"
2004,A Educação de Helen,LM,Garry Marshall,"Drama, Romance, Comédia",US,1463,25860,"105528,20"
2004,A Espada Mágica - Quest For Camelot,LM,Frederik Du Chau,"Fantasia, Aventura",US,9,338,"911,80"
2004,A Esquiva,LM,Abdellatif Kechiche,"Drama, Romance",FR,82,856,"3051,80"
2004,A Estação,LM,Tom McCarthy,"Drama, Comédia",US,345,3995,"16801,75"
2004,A Estranha Vida De Igby,LM,Burr Steers,"Drama, Comédia",US,335,5547,"23003,30"
2004,A Filha Do Patrão,LM,David Zucker,"Romance, Comédia",US,2088,48039,"189265,05"
2004,À Flor do Mar,LM,João César Monteiro,"Drama, Romance",PT,2,21,"87,50"
2004,A Floresta Mágica,LM,"Ángel de la Cruz, Manolo Gómez",Fantasia,ES,158,6069,"11767,25"
2004,A História do Camelo Que Chora,LM,"Byambasuren Davaa, Luigi Falorni",Drama,"DE, MN",120,1342,"4857,70"
2004,A Idade do Gelo,LM,Chris Wedge,"Comédia, Fantasia, Aventura",US,46,1469,"3764,50"
2004,A Janela em Frente,LM,Ferzan Ozpetek,"Drama, Romance","PT, IT, TR, GB",1,12,"44,00"
2004,A Janela Secreta,LM,David Koepp,Thriller,US,3946,92605,"372894,90"
2004,A Lenda do Titanic,LM,"Kim J. Ok, Orlando Corradi","Drama, Comédia","US, IT, ES",98,881,"2996,00"
2004,A Melhor Juventude,LM,Marco Tullio Giordana,"Drama, Romance",IT,732,19368,"81067,20"
2004,A Minha Namorada Tem Amnésia,LM,Peter Segal,"Romance, Comédia",US,7200,204531,"825361,09"
2004,A Minha Vida Sem Mim,LM,Isabel Coixet,"Drama, Romance","CA, ES",504,3357,"13798,65"
2004,A Miúda do Lado,LM,Luke Greenfield,"Romance, Comédia",US,1378,28183,"113197,93"
2004,A Morte Soube-nos Tão Bem,LM,Nick Hurran,"Romance, Comédia","US, DE, GB",711,6622,"28807,50"
2004,A Mulher da Casa,LM,Adam Shankman,Comédia,US,18,166,"615,00"
2004,A Outra Metade do Amor,LM,Léa Pool,"Drama, Romance",CA,306,2205,"9042,85"
2004,A Paixão de Cristo,LM,Mel Gibson,"Drama, Épico/Histórico",US,10582,720840,"3006849,33"
2004,A Passagem da Noite,LM,Luís Filipe Rocha,Drama,PT,2,398,"837,50"
2004,A Pequena Lili,LM,Claude Miller,"Drama, Romance","FR, CA",96,387,"1616,50"
2004,A Pianista,LM,Michael Haneke,"Drama, Artes","FR, DE, AT",6,63,"242,90"
2004,A Porta no Chão,LM,Tod Williams,Drama,US,63,954,"3910,06"
2004,A Praia,LM,Danny Boyle,"Drama, Romance, Aventura","US, GB",1,3,"7,50"
